Order_Id,Type,Order_Date(DateOrders),Shipping_Date(DateOrders),Days_for_Shipment(scheduled),Days_for_Shipping(real),Delivery_Status,Late_Delivery_Risk,Shipping_Mode,Order_Item_Quantity,Order_Item_Discount_Rate,Product_Category_Id,Order_Region,Customer_Country,Customer_Segment,Delivery_Delay,On_Time_Delivery,Order_Month
75086,Debit,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.100000001,67,Oceania,EE. UU.,Consumer,1,0,1
75120,Payment,2025-01-01,2025-02-01,4,6,Late delivery,1,Standard Class,1,0.119999997,68,Southeast Asia,EE. UU.,Corporate,2,0,1
75135,Payment,2025-01-01,2025-02-01,4,6,Late delivery,1,Standard Class,1,0.159999996,68,Eastern Asia,EE. UU.,Corporate,2,0,1
75145,Debit,2025-01-01,2025-02-01,2,6,Late delivery,1,Second Class,1,0.029999999,68,Eastern Asia,EE. UU.,Corporate,4,0,1
75096,Cash,2025-01-01,2025-03-01,4,2,Advance shipping,0,Standard Class,1,0.200000003,68,Oceania,EE. UU.,Home Office,-2,1,1
75146,Debit,2025-01-01,2025-03-01,2,2,Shipping on time,0,Second Class,1,0.02,68,Eastern Asia,EE. UU.,Consumer,0,1,1
75139,Debit,2025-01-01,2025-03-01,2,5,Late delivery,1,Second Class,1,0.100000001,68,Southeast Asia,EE. UU.,Consumer,3,0,1
75118,Transfer,2025-01-01,2025-05-01,4,4,Shipping on time,0,Standard Class,1,0.150000006,68,Southeast Asia,EE. UU.,Corporate,0,1,1
75132,Payment,2025-01-01,2025-04-01,4,3,Advance shipping,0,Standard Class,1,0.200000003,68,South Asia,EE. UU.,Consumer,-1,1,1
75121,Payment,2025-01-01,2025-03-01,4,2,Advance shipping,0,Standard Class,1,0.100000001,68,South Asia,Puerto Rico,Corporate,-2,1,1
75084,Transfer,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.129999995,67,Southeast Asia,Puerto Rico,Corporate,1,0,1
75133,Debit,2025-01-01,2025-05-01,4,4,Shipping on time,0,Standard Class,1,0.180000007,68,South Asia,EE. UU.,Consumer,0,1,1
75100,Debit,2025-01-01,2025-02-01,2,6,Late delivery,1,Second Class,1,0.150000006,68,Oceania,EE. UU.,Home Office,4,0,1
75099,Debit,2025-01-01,2025-03-01,2,5,Late delivery,1,Second Class,1,0.159999996,68,Oceania,EE. UU.,Home Office,3,0,1
75097,Debit,2025-01-01,2025-04-01,2,3,Late delivery,1,Second Class,1,0.180000007,68,Southeast Asia,EE. UU.,Home Office,1,0,1
75130,Transfer,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.0,68,South Asia,EE. UU.,Consumer,1,0,1
75092,Transfer,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.02,68,Oceania,EE. UU.,Consumer,1,0,1
75089,Transfer,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.050000001,68,South Asia,EE. UU.,Consumer,1,0,1
75087,Transfer,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.090000004,67,Southeast Asia,EE. UU.,Consumer,1,0,1
75148,Transfer,2025-01-01,2025-05-01,2,4,Late delivery,1,Second Class,1,0.0,68,Southeast Asia,EE. UU.,Consumer,2,0,1
75093,Transfer,2025-01-01,2025-05-01,2,4,Late delivery,1,Second Class,1,0.01,68,Oceania,EE. UU.,Consumer,2,0,1
75090,Transfer,2025-01-01,2025-02-01,2,6,Late delivery,1,Second Class,1,0.039999999,68,Southeast Asia,EE. UU.,Consumer,4,0,1
75141,Transfer,2025-01-01,2025-03-01,2,2,Shipping on time,0,Second Class,1,0.07,68,Oceania,EE. UU.,Consumer,0,1,1
75117,Transfer,2025-01-01,2025-04-01,4,3,Advance shipping,0,Standard Class,1,0.159999996,68,Southeast Asia,Puerto Rico,Corporate,-1,1,1
75140,Payment,2025-01-01,2025-02-01,2,6,Late delivery,1,Second Class,1,0.090000004,68,Oceania,Puerto Rico,Consumer,4,0,1
75138,Payment,2025-01-01,2025-05-01,2,4,Late delivery,1,Second Class,1,0.119999997,68,Southeast Asia,Puerto Rico,Consumer,2,0,1
75110,Transfer,2025-01-01,2025-02-01,4,6,Late delivery,1,Standard Class,1,0.02,68,Eastern Asia,EE. UU.,Consumer,2,0,1
75125,Cash,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.050000001,68,South Asia,Puerto Rico,Home Office,1,0,1
75102,Debit,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.119999997,68,Oceania,Puerto Rico,Home Office,1,0,1
75109,Debit,2025-01-01,2025-03-01,4,5,Late delivery,1,Standard Class,1,0.029999999,68,Southeast Asia,Puerto Rico,Home Office,1,0,1
75082,Transfer,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.159999996,67,Eastern Asia,Puerto Rico,Consumer,1,0,1
75147,Transfer,2025-01-01,2025-04-01,2,3,Shipping canceled,0,Second Class,1,0.01,68,Eastern Asia,Puerto Rico,Consumer,1,0,1
75113,Transfer,2025-01-01,2025-05-01,4,4,Shipping canceled,0,Standard Class,1,0.25,68,Eastern Asia,Puerto Rico,Consumer,0,1,1
75111,Transfer,2025-01-01,2025-03-01,4,2,Advance shipping,0,Standard Class,1,0.01,68,Southeast Asia,Puerto Rico,Consumer,-2,1,1
75115,Transfer,2025-01-01,2025-02-01,4,6,Late delivery,1,Standard Class,1,0.180000007,68,Eastern Asia,Puerto Rico,Consumer,2,0,1
75108,Debit,2025-01-01,2025-05-01,4,4,Shipping on time,0,Standard Class,1,0.039999999,68,Oceania,EE. UU.,Home Office,0,1,1
75114,Debit,2025-01-01,2025-03-01,4,5,Late delivery,1,Standard Class,1,0.200000003,68,Eastern Asia,EE. UU.,Home Office,1,0,1
75126,Payment,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.039999999,68,South Asia,EE. UU.,Home Office,1,0,1
75137,Payment,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.129999995,68,Southeast Asia,EE. UU.,Home Office,1,0,1
75105,Payment,2025-01-01,2025-02-01,4,6,Late delivery,1,Standard Class,1,0.07,68,Southeast Asia,EE. UU.,Home Office,2,0,1
75127,Transfer,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.029999999,68,South Asia,EE. UU.,Home Office,1,0,1
75103,Transfer,2025-01-01,2025-05-01,2,4,Late delivery,1,Second Class,1,0.100000001,68,Oceania,EE. UU.,Home Office,2,0,1
75101,Transfer,2025-01-01,2025-03-01,2,2,Shipping on time,0,Second Class,1,0.129999995,68,Oceania,EE. UU.,Home Office,0,1,1
75128,Transfer,2025-01-01,2025-05-01,2,4,Late delivery,1,Second Class,1,0.02,68,South Asia,EE. UU.,Home Office,2,0,1
75142,Cash,2025-01-01,2025-04-01,2,3,Late delivery,1,Second Class,1,0.059999999,68,Oceania,Puerto Rico,Consumer,1,0,1
75129,Debit,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.01,68,South Asia,Puerto Rico,Consumer,1,0,1
75091,Debit,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.029999999,68,Southeast Asia,Puerto Rico,Consumer,1,0,1
75939,Transfer,2025-01-13,2025-01-18,4,5,Late delivery,1,Standard Class,1,0.050000001,73,South Asia,Puerto Rico,Consumer,1,0,1
75938,Cash,2025-01-13,2025-01-17,4,4,Shipping on time,0,Standard Class,1,0.059999999,73,South Asia,EE. UU.,Consumer,0,1,1
75937,Debit,2025-01-13,2025-01-16,4,3,Advance shipping,0,Standard Class,1,0.07,73,Oceania,EE. UU.,Home Office,-1,1,1
75936,Payment,2025-01-13,2025-01-15,4,2,Advance shipping,0,Standard Class,1,0.090000004,73,Oceania,Puerto Rico,Corporate,-2,1,1
75935,Transfer,2025-01-13,2025-01-19,4,6,Shipping canceled,0,Standard Class,1,0.100000001,73,Oceania,EE. UU.,Consumer,2,0,1
75934,Debit,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.119999997,73,Eastern Asia,Puerto Rico,Home Office,1,0,1
75933,Transfer,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.129999995,73,Eastern Asia,EE. UU.,Corporate,1,0,1
75932,Cash,2025-01-13,2025-01-16,2,3,Late delivery,1,Second Class,1,0.150000006,73,Eastern Asia,Puerto Rico,Corporate,1,0,1
75931,Cash,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.159999996,73,Eastern Asia,EE. UU.,Corporate,1,0,1
75930,Transfer,2025-01-13,2025-01-19,2,6,Shipping canceled,0,Second Class,1,0.170000002,73,Eastern Asia,Puerto Rico,Corporate,4,0,1
75929,Transfer,2025-01-13,2025-01-18,2,5,Late delivery,1,Second Class,1,0.180000007,73,Southeast Asia,EE. UU.,Consumer,3,0,1
75928,Transfer,2025-01-13,2025-01-17,2,4,Late delivery,1,Second Class,1,0.200000003,73,Southeast Asia,EE. UU.,Corporate,2,0,1
75927,Debit,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.25,73,South Asia,Puerto Rico,Corporate,1,0,1
75926,Transfer,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.0,73,South Asia,EE. UU.,Corporate,1,0,1
75925,Debit,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.01,73,South Asia,Puerto Rico,Corporate,1,0,1
75924,Payment,2025-01-13,2025-01-18,2,5,Late delivery,1,Second Class,1,0.02,73,Eastern Asia,Puerto Rico,Corporate,3,0,1
75923,Cash,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.029999999,73,South Asia,EE. UU.,Corporate,1,0,1
75922,Debit,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.039999999,73,South Asia,Puerto Rico,Consumer,1,0,1
75921,Payment,2025-01-13,2025-01-13,0,0,Shipping on time,0,Same Day,1,0.050000001,73,South Asia,EE. UU.,Consumer,0,1,1
75920,Transfer,2025-01-13,2025-01-13,0,0,Shipping on time,0,Same Day,1,0.059999999,73,South Asia,EE. UU.,Corporate,0,1,1
75919,Transfer,2025-01-13,2025-01-18,4,5,Late delivery,1,Standard Class,1,0.07,73,South Asia,Puerto Rico,Corporate,1,0,1
75918,Transfer,2025-01-13,2025-01-17,2,4,Late delivery,1,Second Class,1,0.090000004,73,Oceania,EE. UU.,Corporate,2,0,1
75917,Transfer,2025-01-13,2025-01-16,2,3,Shipping canceled,0,Second Class,1,0.100000001,73,Oceania,Puerto Rico,Corporate,1,0,1
75916,Transfer,2025-01-13,2025-01-15,2,2,Shipping canceled,0,Second Class,1,0.119999997,73,Oceania,EE. UU.,Corporate,0,1,1
75915,Debit,2025-01-13,2025-01-19,2,6,Late delivery,1,Second Class,1,0.129999995,73,Oceania,Puerto Rico,Corporate,4,0,1
75914,Transfer,2025-01-13,2025-01-18,2,5,Late delivery,1,Second Class,1,0.150000006,73,Oceania,EE. UU.,Consumer,3,0,1
75913,Payment,2025-01-13,2025-01-17,4,4,Shipping on time,0,Standard Class,1,0.159999996,73,Eastern Asia,Puerto Rico,Corporate,0,1,1
75912,Debit,2025-01-13,2025-01-16,4,3,Advance shipping,0,Standard Class,1,0.170000002,73,Eastern Asia,EE. UU.,Corporate,-1,1,1
75911,Transfer,2025-01-13,2025-01-15,4,2,Advance shipping,0,Standard Class,1,0.180000007,73,Eastern Asia,EE. UU.,Consumer,-2,1,1
75910,Debit,2025-01-13,2025-01-19,4,6,Late delivery,1,Standard Class,1,0.200000003,73,Eastern Asia,Puerto Rico,Consumer,2,0,1
75909,Debit,2025-01-13,2025-01-18,4,5,Late delivery,1,Standard Class,1,0.25,73,South Asia,EE. UU.,Consumer,1,0,1
75908,Payment,2025-01-13,2025-01-17,4,4,Shipping on time,0,Standard Class,1,0.0,73,South Asia,Puerto Rico,Consumer,0,1,1
75907,Debit,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.01,73,Eastern Asia,EE. UU.,Consumer,1,0,1
75906,Payment,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.02,73,Eastern Asia,EE. UU.,Consumer,1,0,1
75905,Payment,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.029999999,73,Southeast Asia,Puerto Rico,Corporate,1,0,1
75904,Cash,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.039999999,73,South Asia,EE. UU.,Corporate,1,0,1
75971,Payment,2025-01-13,2025-01-15,4,2,Advance shipping,0,Standard Class,1,0.200000003,74,Southeast Asia,EE. UU.,Consumer,-2,1,1
75970,Debit,2025-01-13,2025-01-19,4,6,Late delivery,1,Standard Class,1,0.25,74,Oceania,Puerto Rico,Consumer,2,0,1
75969,Cash,2025-01-13,2025-01-18,4,5,Late delivery,1,Standard Class,1,0.0,74,Southeast Asia,EE. UU.,Consumer,1,0,1
75968,Payment,2025-01-13,2025-01-17,4,4,Shipping on time,0,Standard Class,1,0.01,74,Southeast Asia,EE. UU.,Home Office,0,1,1
75967,Debit,2025-01-13,2025-01-16,4,3,Advance shipping,0,Standard Class,1,0.02,74,Southeast Asia,Puerto Rico,Corporate,-1,1,1
75966,Transfer,2025-01-13,2025-01-15,4,2,Advance shipping,0,Standard Class,1,0.029999999,74,Southeast Asia,EE. UU.,Corporate,-2,1,1
75965,Debit,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.039999999,74,Southeast Asia,Puerto Rico,Consumer,1,0,1
75964,Debit,2025-01-13,2025-01-15,1,2,Late delivery,1,First Class,1,0.050000001,74,Southeast Asia,EE. UU.,Consumer,1,0,1
75963,Transfer,2025-01-13,2025-01-14,0,1,Shipping canceled,0,Same Day,1,0.059999999,74,Eastern Asia,EE. UU.,Consumer,1,0,1
75962,Payment,2025-01-13,2025-01-16,4,3,Advance shipping,0,Standard Class,1,0.07,74,Southeast Asia,Puerto Rico,Consumer,-1,1,1
75961,Payment,2025-01-13,2025-01-15,4,2,Advance shipping,0,Standard Class,1,0.090000004,74,Southeast Asia,EE. UU.,Consumer,-2,1,1
75960,Debit,2025-01-13,2025-01-19,4,6,Late delivery,1,Standard Class,1,0.100000001,74,Southeast Asia,EE. UU.,Consumer,2,0,1
75959,Cash,2025-01-13,2025-01-18,4,5,Late delivery,1,Standard Class,1,0.119999997,74,Southeast Asia,Puerto Rico,Consumer,1,0,1
75958,Debit,2025-01-13,2025-01-17,4,4,Shipping on time,0,Standard Class,1,0.129999995,74,Southeast Asia,EE. UU.,Consumer,0,1,1
