Order_Id,Type,Order_Date(DateOrders),Shipping_Date(DateOrders),Days_for_Shipment(scheduled),Days_for_Shipping(real),Delivery_Status,Late_Delivery_Risk,Shipping_Mode,Order_Item_Quantity,Order_Item_Discount_Rate,Product_Category_Id,Order_Region,Customer_Country,Customer_Segment
75804,Debit,01-01-2025,01-02-2025,0,1,Late delivery,1,Same Day,1,0.170000002,73,Oceania,Puerto Rico,Corporate
75803,Cash,01-01-2025,01-02-2025,0,1,Late delivery,1,Same Day,1,0.180000007,73,Oceania,EE. UU.,Consumer
75802,Transfer,01-01-2025,01-02-2025,0,1,Shipping canceled,0,Same Day,1,0.200000003,73,Oceania,Puerto Rico,Corporate
75801,Debit,01-01-2025,01-02-2025,0,1,Late delivery,1,Same Day,1,0.25,73,South Asia,EE. UU.,Home Office
75800,Debit,01-01-2025,17-01-2025,4,6,Late delivery,1,Standard Class,1,0,73,South Asia,EE. UU.,Consumer
75799,Debit,01-01-2025,16-01-2025,4,5,Late delivery,1,Standard Class,1,0.01,73,Southeast Asia,Puerto Rico,Home Office
75798,Transfer,01-01-2025,15-01-2025,4,4,Shipping on time,0,Standard Class,1,0.02,73,South Asia,EE. UU.,Home Office
75797,Transfer,01-01-2025,14-01-2025,4,3,Advance shipping,0,Standard Class,1,0.029999999,73,Eastern Asia,Puerto Rico,Consumer
75796,Cash,01-01-2025,13-01-2025,2,2,Shipping on time,0,Second Class,1,0.039999999,73,Oceania,EE. UU.,Home Office
75795,Debit,01-01-2025,17-01-2025,4,6,Late delivery,1,Standard Class,1,0.050000001,73,Oceania,EE. UU.,Corporate
75794,Cash,01-01-2025,16-01-2025,4,5,Late delivery,1,Standard Class,1,0.059999999,73,Oceania,Puerto Rico,Corporate
75793,Payment,01-01-2025,15-01-2025,4,4,Shipping on time,0,Standard Class,1,0.07,73,Eastern Asia,EE. UU.,Corporate
75792,Payment,01-01-2025,14-01-2025,4,3,Advance shipping,0,Standard Class,1,0.090000004,73,Eastern Asia,Puerto Rico,Consumer
75791,Transfer,01-01-2025,13-01-2025,2,2,Shipping on time,0,Second Class,1,0.100000001,73,Eastern Asia,EE. UU.,Consumer
75790,Transfer,01-01-2025,17-01-2025,2,6,Late delivery,1,Second Class,1,0.119999997,73,Eastern Asia,Puerto Rico,Corporate
75789,Transfer,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.129999995,73,Eastern Asia,EE. UU.,Corporate
75788,Transfer,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.150000006,73,Eastern Asia,Puerto Rico,Corporate
75787,Cash,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.159999996,73,Eastern Asia,EE. UU.,Corporate
75786,Transfer,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.170000002,73,South Asia,Puerto Rico,Consumer
75785,Debit,01-01-2025,17-01-2025,4,6,Late delivery,1,Standard Class,1,0.180000007,73,South Asia,EE. UU.,Corporate
75784,Payment,01-01-2025,16-01-2025,4,5,Late delivery,1,Standard Class,1,0.200000003,73,South Asia,Puerto Rico,Corporate
75783,Debit,01-01-2025,15-01-2025,4,4,Shipping on time,0,Standard Class,1,0.25,73,Eastern Asia,EE. UU.,Corporate
75782,Debit,01-01-2025,14-01-2025,4,3,Advance shipping,0,Standard Class,1,0,73,Oceania,EE. UU.,Corporate
75781,Payment,01-01-2025,13-01-2025,4,2,Advance shipping,0,Standard Class,1,0.01,73,Oceania,Puerto Rico,Consumer
75780,Transfer,01-01-2025,17-01-2025,4,6,Shipping canceled,0,Standard Class,1,0.02,73,Oceania,EE. UU.,Consumer
75779,Debit,01-01-2025,16-01-2025,2,5,Late delivery,1,Second Class,1,0.029999999,73,Oceania,Puerto Rico,Consumer
75778,Debit,01-01-2025,15-01-2025,2,4,Late delivery,1,Second Class,1,0.039999999,73,Eastern Asia,EE. UU.,Home Office
75777,Debit,01-01-2025,14-01-2025,2,3,Late delivery,1,Second Class,1,0.050000001,73,Southeast Asia,EE. UU.,Consumer
75776,Debit,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.059999999,73,Southeast Asia,Puerto Rico,Corporate
75775,Debit,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.07,73,Eastern Asia,EE. UU.,Corporate
75774,Debit,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.090000004,73,Eastern Asia,Puerto Rico,Corporate
75773,Cash,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.100000001,73,Southeast Asia,EE. UU.,Consumer
75772,Payment,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.119999997,73,Oceania,EE. UU.,Consumer
75771,Transfer,01-01-2025,01-01-2025,0,0,Shipping on time,0,Same Day,1,0.129999995,73,Southeast Asia,EE. UU.,Consumer
75770,Transfer,01-01-2025,17-01-2025,4,6,Late delivery,1,Standard Class,1,0.150000006,73,Oceania,Puerto Rico,Consumer
75769,Debit,01-01-2025,16-01-2025,4,5,Late delivery,1,Standard Class,1,0.159999996,73,Oceania,EE. UU.,Consumer
75768,Debit,01-01-2025,15-01-2025,4,4,Shipping on time,0,Standard Class,1,0.170000002,73,South Asia,EE. UU.,Consumer
75767,Transfer,01-01-2025,14-01-2025,4,3,Advance shipping,0,Standard Class,1,0.180000007,73,South Asia,Puerto Rico,Consumer
75106,Debit,01-01-2025,01-03-2025,4,2,Advance shipping,0,Standard Class,1,0.059999999,68,Eastern Asia,EE. UU.,Corporate
75116,Debit,01-01-2025,01-03-2025,4,2,Advance shipping,0,Standard Class,1,0.170000002,68,Southeast Asia,EE. UU.,Corporate
75144,Debit,01-01-2025,01-03-2025,2,5,Late delivery,1,Second Class,1,0.039999999,68,Eastern Asia,Puerto Rico,Consumer
75131,Debit,01-01-2025,01-03-2025,2,2,Shipping on time,0,Second Class,1,0.25,68,South Asia,Puerto Rico,Consumer
75149,Debit,01-01-2025,01-03-2025,2,5,Late delivery,1,Second Class,1,0.25,68,Southeast Asia,Puerto Rico,Consumer
75122,Debit,01-01-2025,01-04-2025,4,3,Advance shipping,0,Standard Class,1,0.090000004,68,South Asia,EE. UU.,Corporate
75098,Transfer,01-01-2025,01-05-2025,2,4,Late delivery,1,Second Class,1,0.170000002,68,Oceania,Puerto Rico,Home Office
75123,Cash,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.07,68,Oceania,EE. UU.,Corporate
75104,Debit,01-01-2025,01-03-2025,4,5,Late delivery,1,Standard Class,1,0.090000004,68,Oceania,Puerto Rico,Consumer
75095,Debit,01-01-2025,01-02-2025,4,6,Late delivery,1,Standard Class,1,0.25,68,Oceania,Puerto Rico,Consumer
75112,Cash,01-01-2025,01-04-2025,4,3,Advance shipping,0,Standard Class,1,0,68,Southeast Asia,EE. UU.,Corporate
75124,Debit,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.059999999,68,South Asia,EE. UU.,Corporate
75083,Debit,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.150000006,67,Southeast Asia,EE. UU.,Corporate
75085,Debit,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.119999997,67,Oceania,EE. UU.,Corporate
75088,Debit,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.07,67,Eastern Asia,Puerto Rico,Corporate
75136,Payment,01-01-2025,01-02-2025,0,1,Late delivery,1,Same Day,1,0.150000006,68,Eastern Asia,EE. UU.,Corporate
75094,Cash,01-01-2025,01-03-2025,4,5,Late delivery,1,Standard Class,1,0,68,Oceania,EE. UU.,Consumer
75143,Payment,01-01-2025,01-05-2025,2,4,Late delivery,1,Second Class,1,0.050000001,68,Oceania,EE. UU.,Consumer
75119,Debit,01-01-2025,01-03-2025,4,5,Late delivery,1,Standard Class,1,0.129999995,68,Southeast Asia,Puerto Rico,Corporate
75134,Debit,01-01-2025,01-03-2025,4,5,Late delivery,1,Standard Class,1,0.170000002,68,South Asia,Puerto Rico,Corporate
75107,Debit,01-01-2025,01-04-2025,4,3,Advance shipping,0,Standard Class,1,0.050000001,68,Eastern Asia,Puerto Rico,Corporate
75086,Debit,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.100000001,67,Oceania,EE. UU.,Consumer
75120,Payment,01-01-2025,01-02-2025,4,6,Late delivery,1,Standard Class,1,0.119999997,68,Southeast Asia,EE. UU.,Corporate
75135,Payment,01-01-2025,01-02-2025,4,6,Late delivery,1,Standard Class,1,0.159999996,68,Eastern Asia,EE. UU.,Corporate
75145,Debit,01-01-2025,01-02-2025,2,6,Late delivery,1,Second Class,1,0.029999999,68,Eastern Asia,EE. UU.,Corporate
75096,Cash,01-01-2025,01-03-2025,4,2,Advance shipping,0,Standard Class,1,0.200000003,68,Oceania,EE. UU.,Home Office
75146,Debit,01-01-2025,01-03-2025,2,2,Shipping on time,0,Second Class,1,0.02,68,Eastern Asia,EE. UU.,Consumer
75139,Debit,01-01-2025,01-03-2025,2,5,Late delivery,1,Second Class,1,0.100000001,68,Southeast Asia,EE. UU.,Consumer
75118,Transfer,01-01-2025,01-05-2025,4,4,Shipping on time,0,Standard Class,1,0.150000006,68,Southeast Asia,EE. UU.,Corporate
75132,Payment,01-01-2025,01-04-2025,4,3,Advance shipping,0,Standard Class,1,0.200000003,68,South Asia,EE. UU.,Consumer
75121,Payment,01-01-2025,01-03-2025,4,2,Advance shipping,0,Standard Class,1,0.100000001,68,South Asia,Puerto Rico,Corporate
75084,Transfer,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.129999995,67,Southeast Asia,Puerto Rico,Corporate
75133,Debit,01-01-2025,01-05-2025,4,4,Shipping on time,0,Standard Class,1,0.180000007,68,South Asia,EE. UU.,Consumer
75100,Debit,01-01-2025,01-02-2025,2,6,Late delivery,1,Second Class,1,0.150000006,68,Oceania,EE. UU.,Home Office
75099,Debit,01-01-2025,01-03-2025,2,5,Late delivery,1,Second Class,1,0.159999996,68,Oceania,EE. UU.,Home Office
75097,Debit,01-01-2025,01-04-2025,2,3,Late delivery,1,Second Class,1,0.180000007,68,Southeast Asia,EE. UU.,Home Office
75130,Transfer,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0,68,South Asia,EE. UU.,Consumer
75092,Transfer,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.02,68,Oceania,EE. UU.,Consumer
75089,Transfer,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.050000001,68,South Asia,EE. UU.,Consumer
75087,Transfer,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.090000004,67,Southeast Asia,EE. UU.,Consumer
75148,Transfer,01-01-2025,01-05-2025,2,4,Late delivery,1,Second Class,1,0,68,Southeast Asia,EE. UU.,Consumer
75093,Transfer,01-01-2025,01-05-2025,2,4,Late delivery,1,Second Class,1,0.01,68,Oceania,EE. UU.,Consumer
75090,Transfer,01-01-2025,01-02-2025,2,6,Late delivery,1,Second Class,1,0.039999999,68,Southeast Asia,EE. UU.,Consumer
75141,Transfer,01-01-2025,01-03-2025,2,2,Shipping on time,0,Second Class,1,0.07,68,Oceania,EE. UU.,Consumer
75117,Transfer,01-01-2025,01-04-2025,4,3,Advance shipping,0,Standard Class,1,0.159999996,68,Southeast Asia,Puerto Rico,Corporate
75140,Payment,01-01-2025,01-02-2025,2,6,Late delivery,1,Second Class,1,0.090000004,68,Oceania,Puerto Rico,Consumer
75138,Payment,01-01-2025,01-05-2025,2,4,Late delivery,1,Second Class,1,0.119999997,68,Southeast Asia,Puerto Rico,Consumer
75110,Transfer,01-01-2025,01-02-2025,4,6,Late delivery,1,Standard Class,1,0.02,68,Eastern Asia,EE. UU.,Consumer
75125,Cash,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.050000001,68,South Asia,Puerto Rico,Home Office
75102,Debit,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.119999997,68,Oceania,Puerto Rico,Home Office
75109,Debit,01-01-2025,01-03-2025,4,5,Late delivery,1,Standard Class,1,0.029999999,68,Southeast Asia,Puerto Rico,Home Office
75082,Transfer,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.159999996,67,Eastern Asia,Puerto Rico,Consumer
75147,Transfer,01-01-2025,01-04-2025,2,3,Shipping canceled,0,Second Class,1,0.01,68,Eastern Asia,Puerto Rico,Consumer
75113,Transfer,01-01-2025,01-05-2025,4,4,Shipping canceled,0,Standard Class,1,0.25,68,Eastern Asia,Puerto Rico,Consumer
75111,Transfer,01-01-2025,01-03-2025,4,2,Advance shipping,0,Standard Class,1,0.01,68,Southeast Asia,Puerto Rico,Consumer
75115,Transfer,01-01-2025,01-02-2025,4,6,Late delivery,1,Standard Class,1,0.180000007,68,Eastern Asia,Puerto Rico,Consumer
75108,Debit,01-01-2025,01-05-2025,4,4,Shipping on time,0,Standard Class,1,0.039999999,68,Oceania,EE. UU.,Home Office
75114,Debit,01-01-2025,01-03-2025,4,5,Late delivery,1,Standard Class,1,0.200000003,68,Eastern Asia,EE. UU.,Home Office
75126,Payment,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.039999999,68,South Asia,EE. UU.,Home Office
75137,Payment,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.129999995,68,Southeast Asia,EE. UU.,Home Office
75105,Payment,01-01-2025,01-02-2025,4,6,Late delivery,1,Standard Class,1,0.07,68,Southeast Asia,EE. UU.,Home Office
75127,Transfer,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.029999999,68,South Asia,EE. UU.,Home Office
75103,Transfer,01-01-2025,01-05-2025,2,4,Late delivery,1,Second Class,1,0.100000001,68,Oceania,EE. UU.,Home Office
75101,Transfer,01-01-2025,01-03-2025,2,2,Shipping on time,0,Second Class,1,0.129999995,68,Oceania,EE. UU.,Home Office
75128,Transfer,01-01-2025,01-05-2025,2,4,Late delivery,1,Second Class,1,0.02,68,South Asia,EE. UU.,Home Office
75142,Cash,01-01-2025,01-04-2025,2,3,Late delivery,1,Second Class,1,0.059999999,68,Oceania,Puerto Rico,Consumer
75129,Debit,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.01,68,South Asia,Puerto Rico,Consumer
75091,Debit,01-01-2025,01-03-2025,1,2,Late delivery,1,First Class,1,0.029999999,68,Southeast Asia,Puerto Rico,Consumer
75939,Transfer,13-01-2025,18-01-2025,4,5,Late delivery,1,Standard Class,1,0.050000001,73,South Asia,Puerto Rico,Consumer
75938,Cash,13-01-2025,17-01-2025,4,4,Shipping on time,0,Standard Class,1,0.059999999,73,South Asia,EE. UU.,Consumer
75937,Debit,13-01-2025,16-01-2025,4,3,Advance shipping,0,Standard Class,1,0.07,73,Oceania,EE. UU.,Home Office
75936,Payment,13-01-2025,15-01-2025,4,2,Advance shipping,0,Standard Class,1,0.090000004,73,Oceania,Puerto Rico,Corporate
75935,Transfer,13-01-2025,19-01-2025,4,6,Shipping canceled,0,Standard Class,1,0.100000001,73,Oceania,EE. UU.,Consumer
75934,Debit,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.119999997,73,Eastern Asia,Puerto Rico,Home Office
75933,Transfer,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.129999995,73,Eastern Asia,EE. UU.,Corporate
75932,Cash,13-01-2025,16-01-2025,2,3,Late delivery,1,Second Class,1,0.150000006,73,Eastern Asia,Puerto Rico,Corporate
75931,Cash,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.159999996,73,Eastern Asia,EE. UU.,Corporate
75930,Transfer,13-01-2025,19-01-2025,2,6,Shipping canceled,0,Second Class,1,0.170000002,73,Eastern Asia,Puerto Rico,Corporate
75929,Transfer,13-01-2025,18-01-2025,2,5,Late delivery,1,Second Class,1,0.180000007,73,Southeast Asia,EE. UU.,Consumer
75928,Transfer,13-01-2025,17-01-2025,2,4,Late delivery,1,Second Class,1,0.200000003,73,Southeast Asia,EE. UU.,Corporate
75927,Debit,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.25,73,South Asia,Puerto Rico,Corporate
75926,Transfer,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0,73,South Asia,EE. UU.,Corporate
75925,Debit,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.01,73,South Asia,Puerto Rico,Corporate
75924,Payment,13-01-2025,18-01-2025,2,5,Late delivery,1,Second Class,1,0.02,73,Eastern Asia,Puerto Rico,Corporate
75923,Cash,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.029999999,73,South Asia,EE. UU.,Corporate
75922,Debit,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.039999999,73,South Asia,Puerto Rico,Consumer
75921,Payment,13-01-2025,13-01-2025,0,0,Shipping on time,0,Same Day,1,0.050000001,73,South Asia,EE. UU.,Consumer
75920,Transfer,13-01-2025,13-01-2025,0,0,Shipping on time,0,Same Day,1,0.059999999,73,South Asia,EE. UU.,Corporate
75919,Transfer,13-01-2025,18-01-2025,4,5,Late delivery,1,Standard Class,1,0.07,73,South Asia,Puerto Rico,Corporate
75918,Transfer,13-01-2025,17-01-2025,2,4,Late delivery,1,Second Class,1,0.090000004,73,Oceania,EE. UU.,Corporate
75917,Transfer,13-01-2025,16-01-2025,2,3,Shipping canceled,0,Second Class,1,0.100000001,73,Oceania,Puerto Rico,Corporate
75916,Transfer,13-01-2025,15-01-2025,2,2,Shipping canceled,0,Second Class,1,0.119999997,73,Oceania,EE. UU.,Corporate
75915,Debit,13-01-2025,19-01-2025,2,6,Late delivery,1,Second Class,1,0.129999995,73,Oceania,Puerto Rico,Corporate
75914,Transfer,13-01-2025,18-01-2025,2,5,Late delivery,1,Second Class,1,0.150000006,73,Oceania,EE. UU.,Consumer
75913,Payment,13-01-2025,17-01-2025,4,4,Shipping on time,0,Standard Class,1,0.159999996,73,Eastern Asia,Puerto Rico,Corporate
75912,Debit,13-01-2025,16-01-2025,4,3,Advance shipping,0,Standard Class,1,0.170000002,73,Eastern Asia,EE. UU.,Corporate
75911,Transfer,13-01-2025,15-01-2025,4,2,Advance shipping,0,Standard Class,1,0.180000007,73,Eastern Asia,EE. UU.,Consumer
75910,Debit,13-01-2025,19-01-2025,4,6,Late delivery,1,Standard Class,1,0.200000003,73,Eastern Asia,Puerto Rico,Consumer
75909,Debit,13-01-2025,18-01-2025,4,5,Late delivery,1,Standard Class,1,0.25,73,South Asia,EE. UU.,Consumer
75908,Payment,13-01-2025,17-01-2025,4,4,Shipping on time,0,Standard Class,1,0,73,South Asia,Puerto Rico,Consumer
75907,Debit,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.01,73,Eastern Asia,EE. UU.,Consumer
75906,Payment,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.02,73,Eastern Asia,EE. UU.,Consumer
75905,Payment,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.029999999,73,Southeast Asia,Puerto Rico,Corporate
75904,Cash,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.039999999,73,South Asia,EE. UU.,Corporate
75971,Payment,13-01-2025,15-01-2025,4,2,Advance shipping,0,Standard Class,1,0.200000003,74,Southeast Asia,EE. UU.,Consumer
75970,Debit,13-01-2025,19-01-2025,4,6,Late delivery,1,Standard Class,1,0.25,74,Oceania,Puerto Rico,Consumer
75969,Cash,13-01-2025,18-01-2025,4,5,Late delivery,1,Standard Class,1,0,74,Southeast Asia,EE. UU.,Consumer
75968,Payment,13-01-2025,17-01-2025,4,4,Shipping on time,0,Standard Class,1,0.01,74,Southeast Asia,EE. UU.,Home Office
75967,Debit,13-01-2025,16-01-2025,4,3,Advance shipping,0,Standard Class,1,0.02,74,Southeast Asia,Puerto Rico,Corporate
75966,Transfer,13-01-2025,15-01-2025,4,2,Advance shipping,0,Standard Class,1,0.029999999,74,Southeast Asia,EE. UU.,Corporate
75965,Debit,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.039999999,74,Southeast Asia,Puerto Rico,Consumer
75964,Debit,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.050000001,74,Southeast Asia,EE. UU.,Consumer
75963,Transfer,13-01-2025,14-01-2025,0,1,Shipping canceled,0,Same Day,1,0.059999999,74,Eastern Asia,EE. UU.,Consumer
75962,Payment,13-01-2025,16-01-2025,4,3,Advance shipping,0,Standard Class,1,0.07,74,Southeast Asia,Puerto Rico,Consumer
75961,Payment,13-01-2025,15-01-2025,4,2,Advance shipping,0,Standard Class,1,0.090000004,74,Southeast Asia,EE. UU.,Consumer
75960,Debit,13-01-2025,19-01-2025,4,6,Late delivery,1,Standard Class,1,0.100000001,74,Southeast Asia,EE. UU.,Consumer
75959,Cash,13-01-2025,18-01-2025,4,5,Late delivery,1,Standard Class,1,0.119999997,74,Southeast Asia,Puerto Rico,Consumer
75958,Debit,13-01-2025,17-01-2025,4,4,Shipping on time,0,Standard Class,1,0.129999995,74,Southeast Asia,EE. UU.,Consumer
75957,Transfer,13-01-2025,16-01-2025,2,3,Late delivery,1,Second Class,1,0.150000006,74,Oceania,Puerto Rico,Corporate
75956,Transfer,13-01-2025,15-01-2025,2,2,Shipping on time,0,Second Class,1,0.159999996,74,Oceania,Puerto Rico,Corporate
75955,Transfer,13-01-2025,19-01-2025,2,6,Late delivery,1,Second Class,1,0.170000002,74,Southeast Asia,EE. UU.,Consumer
75954,Debit,13-01-2025,18-01-2025,4,5,Late delivery,1,Standard Class,1,0.180000007,74,Southeast Asia,EE. UU.,Home Office
75953,Payment,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.200000003,74,Eastern Asia,EE. UU.,Home Office
75952,Transfer,13-01-2025,16-01-2025,2,3,Late delivery,1,Second Class,1,0.25,74,Southeast Asia,EE. UU.,Corporate
75951,Payment,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0,74,Oceania,Puerto Rico,Corporate
75950,Payment,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.01,74,Oceania,EE. UU.,Consumer
75949,Transfer,13-01-2025,18-01-2025,2,5,Shipping canceled,0,Second Class,1,0.02,74,Oceania,Puerto Rico,Consumer
75948,Debit,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.029999999,74,Oceania,EE. UU.,Consumer
75947,Transfer,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.039999999,74,Oceania,EE. UU.,Consumer
75946,Payment,13-01-2025,15-01-2025,1,2,Late delivery,1,First Class,1,0.050000001,74,Oceania,Puerto Rico,Consumer
75945,Cash,13-01-2025,19-01-2025,4,6,Late delivery,1,Standard Class,1,0.059999999,74,Oceania,EE. UU.,Consumer
75944,Payment,13-01-2025,18-01-2025,4,5,Late delivery,1,Standard Class,1,0.07,74,South Asia,Puerto Rico,Home Office
75943,Debit,13-01-2025,17-01-2025,4,4,Shipping on time,0,Standard Class,1,0.090000004,74,South Asia,Puerto Rico,Home Office
75942,Transfer,13-01-2025,16-01-2025,4,3,Advance shipping,0,Standard Class,1,0.100000001,74,South Asia,Puerto Rico,Consumer
75941,Transfer,13-01-2025,15-01-2025,4,2,Advance shipping,0,Standard Class,1,0.119999997,74,South Asia,EE. UU.,Consumer
75940,Debit,13-01-2025,19-01-2025,4,6,Late delivery,1,Standard Class,1,0.129999995,74,South Asia,EE. UU.,Consumer
